avg_reward
-101.24000000000026
-101.9700000000002
-101.61000000000016
-101.87710357145674
-101.3691915390249
-100.59000000000009
-101.50360162218863
-101.26000000000019
-101.31611584209287
-101.05452456974739
-101.71000000000038
-101.56000000000034
-101.52723385912324
-102.33156048281782
-101.9600000000004
-101.95313677408686
-100.85873376117709
-101.2142282699006
-101.26423780471731
-102.46995233020077
-101.41131689373368
-101.16377142030406
-100.61815890901615
-101.75424864462197
-100.68251684437354
-101.91607292178185
-101.27137319147356
-102.23308208519556
-102.47699852541946
-102.20246671496074
-101.1501931812086
-102.08548850415893
