r_shoulder_swing_joint	l_shoulder_swing_joint	r_shoulder_lateral_joint	l_shoulder_lateral_joint	r_elbow_joint	l_elbow_joint	r_hip_twist_joint	l_hip_twist_joint	r_hip_lateral_joint	l_hip_lateral_joint	r_hip_swing_joint	l_hip_swing_joint	r_knee_joint	l_knee_joint	r_ankle_swing_joint	l_ankle_swing_joint	r_ankle_lateral_joint	l_ankle_lateral_joint
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	4.696666571050306e-06	0.29401613993983206
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	4.696666571050306e-06	0.29401613993983206
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	4.696666571050306e-06	0.29401613993983206
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	4.696666571050306e-06	0.29401613993983206
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	4.696666571050306e-06	0.29401613993983206
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	4.696666571050306e-06	0.29401613993983206
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	4.696666571050306e-06	0.29401613993983206
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0.02400281165479357	0.3061739132572094
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0.02400281165479357	0.3061739132572094
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	69	4	0.02400281165479357	0.3061739132572094
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	70	5	0.02400281165479357	0.3061739132572094
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	70	5	0.02400281165479357	0.3061739132572094
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	71	6	0.02400281165479357	0.3061739132572094
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	71	6	0.005625347527971416	0.31144233041228375
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	72	7	0.005625347527971416	0.31144233041228375
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	73	8	0.005625347527971416	0.31144233041228375
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	73	8	0.005625347527971416	0.31144233041228375
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	74	9	0.005625347527971416	0.31144233041228375
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	74	9	0.005625347527971416	0.31144233041228375
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	75	10	0.005625347527971416	0.31144233041228375
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	76	11	-0.03930015926337662	0.2804106358386379
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	76	11	-0.03930015926337662	0.2804106358386379
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	77	12	-0.03930015926337662	0.2804106358386379
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	77	12	-0.03930015926337662	0.2804106358386379
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	78	13	-0.03930015926337662	0.2804106358386379
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	79	14	-0.03930015926337662	0.2804106358386379
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	79	14	-0.03930015926337662	0.2804106358386379
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	80	15	-0.044939691900031935	0.28459721305440056
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	80	15	-0.03548703531386084	0.279445316946159
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	81	16	-0.03548703531386084	0.279445316946159
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	81	16	-0.03548703531386084	0.279445316946159
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	82	17	-0.03548703531386084	0.279445316946159
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	83	18	-0.03548703531386084	0.279445316946159
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	83	18	-0.03548703531386084	0.279445316946159
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	84	19	-0.03548703531386084	0.279445316946159
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	84	19	-0.012628718485678092	0.27547695076437306
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	85	20	-0.012628718485678092	0.27547695076437306
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	86	21	-0.012628718485678092	0.27547695076437306
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	86	21	-0.012628718485678092	0.27547695076437306
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	87	22	-0.012628718485678092	0.27547695076437306
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	87	22	-0.012628718485678092	0.27547695076437306
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	88	23	0.0014456285421303103	0.2687295262599484
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	88	23	0.0014456285421303103	0.2687295262599484
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	89	24	0.0014456285421303103	0.2687295262599484
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	90	25	0.0014456285421303103	0.2687295262599484
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	90	25	0.0014456285421303103	0.2687295262599484
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	91	26	0.0014456285421303103	0.2687295262599484
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	91	26	0.0014456285421303103	0.2687295262599484
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	92	27	0.057544928275013084	0.25065230599740856
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	93	28	0.057544928275013084	0.25065230599740856
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	93	28	0.057544928275013084	0.25065230599740856
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	94	29	0.057544928275013084	0.25065230599740856
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	94	29	0.057544928275013084	0.25065230599740856
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	95	30	0.057544928275013084	0.25065230599740856
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	96	31	0.057544928275013084	0.25065230599740856
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	96	31	0.10050971424041164	0.2484909954612945
0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	97	32	0.10050971424041164	0.2484909954612945
